industry_code,industry_name
0,Cement - Major - North India
1,Trading - Medium / Small
2,Pharmaceuticals - Indian - Formulations
3,Cement - Major - South India
4,Paper - Large
5,Tyres - Large
6,Textiles - Denim Fabric
7,Automobiles - LCVs/HCVs
8,Hotels - Large
9,Paints / Varnishes
10,Tea - Indian - Medium / Small
11,Bearings - Large
12,Pharmaceuticals - Multinational
13,Cycles And Accessories
14,Dyes And Pigments - Large
15,Finance - Investment / Others
16,Domestic Appliances - White Goods
17,Sugar - Integrated
18,Leather Chemicals
19,Leather / Synthetic Footware - Large
20,Pesticides / Agrochemicals - Multinational
21,Electric Equipment - Transformers
22,Forgings - Large
23,Auto Ancillaries - Gears
24,Plastics - Others
25,Electric Equipment - Gensets / Turbines
26,Textiles - Texturising
27,Air-conditioners
28,Tea - Indian - Large
29,Power Generation And Supply
30,Food And Dairy Products - Multinational
31,Electrodes - Graphites
32,Abrasives and Grinding Wheels
33,Construction - Civil / Turnkey - Medium / Small
34,Textiles - Manmade - PFY/PSF - InHouse Poly Condsn
35,Auto Ancillaries - Batteries
36,Pharmaceuticals - Indian - Bulk Drugs & Formln Lrg
37,Auto Ancillaries - Clutches
38,Chemicals - Speciality - Medium / Small
39,Personal Care - Multinational
40,Chemicals - Speciality - Large
41,Coffee
42,Fertilizers - Nitrogenous / Phosphatic
43,Packaging - BOPP Film
44,Electric Equipment - General - Large
45,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg
46,Cement - Mini - South India
47,Chemicals - Benzene-based
48,Petrochemicals - Polymers - Large
49,Engineering - Heavy - Material Handling
50,Castings - Grey Iron
51,Compressors / Drilling Equipment
52,Electric Equipment - Switchgears/Relays/Circuits
53,Automobiles - Tractors
54,Packaging - Others
55,Cement Products
56,Chemicals - Organic - Large
57,Cables - Power - Large
58,Finance - Medium
59,Fasteners
60,Electronics - Hard Ferrites
61,Auto Ancillaries - Shock Absorbers
62,Construction - Civil / Turnkey - Large
63,Textiles - Others
64,Aluminium Chemicals
65,Auto Ancillaries - Engine Parts
66,Entertainment - Content Providers
67,Shipping - Large
68,Engines
69,Cigarettes
70,Chlor-Alkali
71,Textiles - Acrylic Fibre
72,Finance - Housing - Large
73,Automobiles - Motorcycles / Mopeds
74,Engineering - Turnkey Services
75,Automobiles - passenger cars
76,Ceramics - Sanitaryware / Others
77,Aluminium
78,Auto Ancillaries - Friction Materials
79,Computers - Software - Medium / Small
80,Industrial Explosives
81,Textile machinery
82,Industrial Gas
83,Textiles - Rayon
84,Lubricants
85,Steel - Sponge Iron
86,Chemicals - Organic - Medium / Small
87,Steel - Rolling
88,Diversified - Mega
89,Domestic Appliances - Fans
90,Pumps
91,Retailing
92,Automobiles - Scooters and 3-Wheelers
93,Engineering - Heavy - General - Large
94,Electric Equipment - General - Medium / Small
95,Tyres - Medium / Small
96,Construction - Factories / Offices / Commercial
97,Steel - Medium / Small
98,Telecommunications - Equipment - Large
99,Hotels - Medium
100,Cement - Mini - North India
101,Carbon Black
102,Machine Tools - Others
103,Miscellaneous - Medium / Small
104,Pesticides / Agrochemicals - Indian - Large
105,Refineries
106,Mining / Minerals
107,Textiles - Manmade - Nylon
108,Textiles - Weaving
109,Ceramics - Tiles
110,Steel - Tubes / Pipes
111,Decoratives - Wood-based
112,Auto Ancillaries - Brakes
113,Finance - Large
114,Plastics - Sheets
115,Auto Ancillaries - Others
116,Chemicals - Inorganic - Medium / Small
117,Printing & Stationery
118,Chemicals - Maleic Anhydride / Phthalic Anhydride
119,Travel Agencies
120,Metal - Others
121,Steel - Large
122,Dry Cells
123,Pharmaceuticals - Indian - Bulk Drugs
124,Engineering - Heavy - General - Medium / Small
125,Auto Ancillaries - Wheels
126,Sugar - Others
127,Computers - Software - Large
128,Auto Ancillaries - Axles / Shafts
129,Hospitals / Medical Services
130,Diversified - Medium / Small
131,Hydraulics
132,Shipping - medium / small
133,Finance - Small
134,Textiles - Manmade - PFY / PSF - From Chips
135,Textiles - Spinning - Synthetic / Blended
136,Solvent Extraction - Large
137,Moulded Luggage
138,Cables - Telephone
139,Diversified - Large
140,Petrochemicals - Polymers - Medium / Small
141,Finance - Equipment - Leasing & Maintenance
142,Auto Ancillaries - Lamps
143,Electrodes - Welding Equipment
144,Petrochemicals - Others
145,Engineering - Heavy - Plastic Machinery
146,Transport - Road
147,Breweries
148,Textiles - Silk
149,Detergents / Intermediates
150,Textiles - Hosiery / Knitwear
151,Textiles - Cotton Yarn - Open-Ended Spinning
152,Diamond Cutting / Jewellery - Large
153,Construction - Housing - Large
154,Computers - Hardware - Large
155,Glass - Sheet / Float
156,Soda Ash
157,Packaging - Polyester Film
158,Electronics - Picture Tubes - Colour
159,Telecommunications - Equipment - Medium / Small
160,Oil Exploration / Allied Services
161,Hotels - Small
162,Chemicals - Alcohol-based
163,Packaging - Lamination / Processors - Large
164,Electronics - Instrumentation And Process Control
165,Auto Ancillaries - Springs
166,Auto Ancillaries - Sheet Metal
167,Transmisson Line Towers / Equipment
168,Textiles - Cotton Yarn - 100% EOUs
169,Textiles - Terry Towels
170,Plastics - Bottles / Jars
171,Textiles - Manmade - Polypropylene Filament Yarn
172,Finance - Housing - Medium / Small
173,Hatcheries
174,Plastics - Pipes
175,Construction - Housing - Medium / Small
176,Oil Drilling
177,Computers - Peripherals / Accessories
178,Banks - Public Sector
179,Computers - Hardware - Medium / Small
180,Textiles - Composite/Cotton/Blended/Fabric - M/S
181,Electronics - Power Devices / Equipment
182,Food And Dairy Products - Indian - Large
183,Leather Products - Others
184,Aluminium - Extrusions
185,Pesticides / Agrochemicals - Indian - Medium/Small
186,Rubber - Products
187,Solvent Extraction - Medium / Small
188,Chemicals - Gelatine
189,Auto Ancillaries - Electrical
190,Auto Ancillaries - Instruments
191,Auto Ancillaries - Trading
192,Engineering - Light - General - Medium / Small
193,Electronics - Others
194,Plastics - Furniture
195,Trading - Large
196,Distilleries
197,Pharmaceuticals - Indian - Bulk Drugs & Formln M/S
198,Steel - Seamless Tubes
199,Telecommunications - Service Provider
200,Metal - Zinc
201,Banks - Private Sector
202,Miscellaneous - Large
203,Paper - Medium / Small
204,Refractories / Intermediates
205,Securities/Commodities Trading Services
206,Metal - Copper / Copper Alloy Products
207,Food - Processing - Spices / Pickles
208,Granite & Marble - Large
209,Watches & Accessories
210,Rubber - Synthetic
211,Computers - Education
212,Electronics - TV / Audio / VCR / VCP
213,Computers - Software - Converts
214,Food - Processing - Others
215,Packaging - Polysacks
216,Bearings - Medium / Small
217,Steel - Pig Iron
218,Textiles - Composite/Cotton/Blended/Fabric - LARGE
219,Leather Products - Integrated
220,Textiles - Processing
221,Entertainment - Electronic Media
222,Vanaspati - Large
223,Dyes - Reactive / Direct
224,Finance - Term-Lending Institutions
225,Food - Proccesing - Rice
226,Textiles - Embroidery Fabric
227,Cables - Power - Medium / Small
228,Analytical Laboratory Equipment
229,Packaging - Plastic Containers
230,Food - Processing - Mushrooms
231,Packaging - Lamination / Processors - Medium/Small
232,Personal Care - Indian - Large
233,Coke / Metalurgical Coke
234,Textiles - Readymade Apparel
235,Plastics - PU & PU leather
236,Hotels - Resorts
237,Diamond Cutting / Jewellery - Medium / Small
238,Floriculture / Tissue Culture
239,Food and Dairy Products - Indian - Medium / Small
240,Plastics - Thermoware
241,Couriers
242,Pharmaceuticals - I V Fluids
243,Domestic Appliances - Cookers / Others
244,Leather Products - Garments
245,Lighting Systems
246,Glass - Containers / Others
247,Laminates
248,Pollution Control Equipment
249,Contraceptives / Protectives
250,Dyes And Pigments - Medium / Small
251,LPG Bottling
252,Transport - Airlines
253,Tea - Processing And Trading
254,Ferro Alloys
255,Finance - Leasing And Diversified
256,Textiles - Jute - Yarn / Products
257,Plastics - Flooring
258,Aluminium - Sheets / Coils / Wires / Others
259,Gas Distribution
260,Biotechnology
261,Fertilizers - Phosphatic - Single Super Phosphate
262,Medical Accessories / Disposables
263,IT Enabled Services / Business Process Outsourcing
264,Ship - Breaking / Repairing
265,Castings - Steel / Alloy
266,Food - Processing - Egg Powder
267,Medical Equipment
268,Personal Care - Indian - Medium / Small
269,Chemicals - Inorganic - Large
270,Forgings - Medium / Small
271,Photographic And Allied Products
272,Steel - Wires
273,Fire - Protection Equipment
274,Food - Processing - Atta / Rava / Sooji
275,Dyes - Intermediate
276,Chemicals - Pentaerythritol / Formaldehyde
277,Rubber - Retreading
278,Recreation / Amusement Parks
279,Food - Processing - Fruit Processing
280,Textiles - Worsted Fabric
